iter	Logloss
0	0.6757705897
1	0.6612804308
2	0.6480160724
3	0.6328250509
4	0.6215433268
5	0.6091893863
6	0.6002611292
7	0.5916616451
8	0.58233081
9	0.5746885552
10	0.5666266656
11	0.5585008083
12	0.5518368075
13	0.5451604587
14	0.5394638013
15	0.5320244774
16	0.5275666622
17	0.5216802667
18	0.5176551359
19	0.5122813119
20	0.507383564
21	0.502741949
22	0.4986046786
23	0.4947700965
24	0.4904731392
25	0.4876170876
26	0.4842300013
27	0.4818035923
28	0.4789492142
29	0.4755000898
30	0.4729293523
31	0.4709625462
32	0.4680937881
33	0.4655317661
34	0.4630639017
35	0.4608601156
36	0.4585319735
37	0.4560127465
38	0.4541295395
39	0.4520354922
40	0.4500565873
41	0.4479257507
42	0.4462496363
43	0.4442557319
44	0.4426940379
45	0.4411315898
46	0.4397003299
47	0.4385678791
48	0.4369197
49	0.4357584503
50	0.4342794114
51	0.4329443987
52	0.4321962791
53	0.4309089536
54	0.4293882611
55	0.4277550352
56	0.4267184123
57	0.4251024683
58	0.4241625711
59	0.4229935361
60	0.4222066026
61	0.4208713308
62	0.4199652185
63	0.4187993639
64	0.4177619839
65	0.416906849
66	0.4160502295
67	0.4156902155
68	0.4148149971
69	0.41407066
70	0.4134940086
71	0.4127748764
72	0.4123829205
73	0.4116076819
74	0.4109455921
75	0.410351268
76	0.409963985
77	0.4094441105
78	0.408570211
79	0.4079710537
80	0.4070376896
81	0.4061332171
82	0.405209336
83	0.404739302
84	0.4039802506
85	0.4035602871
86	0.4029794848
87	0.4024532854
88	0.4019355191
89	0.4012021176
90	0.4003030846
91	0.3997259764
92	0.399481497
93	0.3990542046
94	0.3984818352
95	0.3981344774
96	0.3975820458
97	0.3973668168
98	0.3969270507
99	0.3963801807
100	0.3959294041
101	0.3955236114
102	0.3951570693
103	0.3947737847
104	0.3941416407
105	0.3932931352
106	0.3927476767
107	0.3925679247
108	0.3921126664
109	0.3918455446
110	0.3914892744
111	0.3911060733
112	0.3902835089
113	0.3899068396
114	0.3895149249
115	0.3887631601
116	0.3884736489
117	0.3880378018
118	0.3877646258
119	0.3874686236
120	0.3872070261
121	0.3867407698
122	0.3863048122
123	0.3861276988
124	0.3857983521
125	0.3855134198
126	0.3851570063
127	0.384810234
128	0.3845141867
129	0.3843232937
130	0.384082146
131	0.3839361487
132	0.3836158322
133	0.3833004069
134	0.3829431739
135	0.3826918997
136	0.3822992148
137	0.3817454447
138	0.3815958954
139	0.3813046422
140	0.3807176399
141	0.3804109795
142	0.380022949
143	0.3796530394
144	0.3795309781
145	0.3790085489
146	0.3787066644
147	0.3784910494
148	0.3780634439
149	0.3776729771
150	0.3774264313
151	0.3772982964
152	0.3770179318
153	0.3767735703
154	0.3763956386
155	0.3760637277
156	0.3756974145
157	0.3753199349
158	0.3751600605
159	0.3749457167
160	0.3745758696
161	0.3742696721
162	0.3739992738
163	0.3738080108
164	0.3735894578
165	0.3733376648
166	0.3731207278
167	0.3729169132
168	0.3727535689
169	0.372446782
170	0.371708937
171	0.3714305817
172	0.371202535
173	0.3709541841
174	0.3705747577
175	0.3703648182
176	0.3699271497
177	0.3695922891
178	0.3692188746
179	0.3688933887
180	0.3687336269
181	0.3686015429
182	0.3684087942
183	0.3680444172
184	0.3677707847
185	0.3670121259
186	0.3667863053
187	0.3665054118
188	0.3662656735
189	0.3657954215
190	0.3654666461
191	0.3651610188
192	0.3646101541
193	0.364266425
194	0.3641259677
195	0.3638008058
196	0.3634909165
197	0.3632359562
198	0.3630664411
199	0.3627596066
200	0.3625191146
201	0.3622766189
202	0.3619767595
203	0.3618294823
204	0.3616424646
205	0.361205068
206	0.3608276033
207	0.3606333962
208	0.3602228631
209	0.3598670623
210	0.3593100019
211	0.3590601283
