iter	Passed	Remaining
0	3	1296
1	6	1298
2	9	1247
3	11	1159
4	15	1209
5	18	1202
6	29	1671
7	32	1596
8	35	1533
9	38	1485
10	40	1443
11	43	1418
12	47	1406
13	53	1478
14	56	1452
15	60	1461
16	64	1442
17	67	1426
18	71	1427
19	74	1410
20	77	1395
21	80	1384
22	83	1367
23	86	1350
24	89	1335
25	93	1344
26	96	1333
27	99	1326
28	104	1340
29	107	1328
30	111	1324
31	114	1315
32	117	1310
33	120	1300
34	123	1292
35	127	1285
36	129	1273
37	132	1263
38	135	1254
39	138	1245
40	141	1236
41	144	1230
42	146	1220
43	150	1217
44	157	1244
45	161	1244
46	166	1247
47	169	1240
48	172	1237
49	175	1231
50	178	1224
51	181	1215
52	184	1210
53	188	1209
54	192	1205
55	195	1200
56	199	1197
57	202	1192
58	205	1187
59	209	1187
60	213	1183
61	216	1179
62	219	1175
63	223	1173
64	226	1168
65	230	1166
66	234	1166
67	237	1159
68	239	1150
69	242	1141
70	245	1136
71	247	1128
72	250	1124
73	254	1121
74	258	1122
75	262	1117
76	269	1131
77	272	1126
78	279	1134
79	282	1128
80	284	1122
81	288	1118
82	292	1117
83	295	1111
84	298	1105
85	301	1100
86	304	1095
87	307	1090
88	310	1085
89	313	1080
90	323	1098
91	326	1093
92	329	1088
93	332	1083
94	335	1077
95	338	1072
96	342	1068
97	344	1062
98	347	1057
99	350	1052
100	353	1047
101	357	1044
102	360	1039
103	363	1034
104	366	1028
105	369	1024
106	372	1019
107	375	1015
108	378	1011
109	381	1006
110	384	1002
111	388	998
112	391	994
113	394	990
114	398	987
115	401	983
116	404	977
117	406	971
118	409	966
119	412	961
120	414	956
121	417	952
122	420	947
123	423	942
124	426	938
125	429	933
126	432	930
127	436	927
128	440	925
129	443	921
130	447	919
131	451	917
132	455	913
133	459	911
134	462	908
135	466	906
136	470	903
137	474	901
138	498	935
139	501	932
140	505	929
141	508	924
142	511	919
143	517	920
144	520	915
145	523	911
146	526	906
147	529	902
148	532	897
149	535	893
150	538	888
151	541	884
152	548	884
153	552	882
154	555	878
155	558	873
156	561	869
157	564	864
158	567	860
159	571	856
160	573	851
161	576	847
162	580	843
163	582	838
164	586	834
165	589	831
166	592	827
167	596	823
168	599	818
169	602	814
170	605	810
171	608	806
172	611	802
173	614	797
174	617	794
175	621	790
176	624	786
177	627	782
178	630	778
179	635	777
180	638	773
181	642	768
182	645	764
183	648	760
184	651	756
185	654	753
186	657	748
187	661	746
188	665	742
189	669	739
190	677	741
191	680	737
192	684	733
193	687	729
194	690	725
195	693	721
196	696	717
197	699	713
198	702	709
199	705	705
200	709	701
201	712	698
202	715	694
203	719	691
204	723	688
205	727	685
206	730	681
207	733	677
208	736	673
209	739	669
210	742	665
211	745	661
212	749	657
213	757	658
214	760	654
215	764	651
216	767	647
217	770	643
218	773	639
219	776	635
220	779	631
221	782	627
222	785	623
223	788	619
224	791	615
225	795	612
226	798	608
227	801	604
228	804	600
229	807	597
230	811	593
231	813	589
232	817	585
233	819	581
234	822	577
235	826	574
236	829	570
237	834	567
238	838	564
239	841	561
240	844	557
241	847	553
242	851	550
243	854	546
244	857	542
245	860	538
246	863	535
247	867	531
248	870	527
249	873	524
250	877	521
251	880	517
252	884	514
253	887	510
254	890	506
255	894	503
256	897	499
257	900	495
258	902	491
259	905	487
260	907	483
261	910	479
262	913	475
263	916	472
264	919	468
265	922	464
266	925	461
267	928	457
268	931	453
269	935	450
270	938	446
271	941	442
272	944	439
273	948	436
274	952	432
275	955	429
276	959	425
277	962	422
278	965	418
279	968	414
280	971	411
281	974	407
282	977	404
283	981	400
284	984	397
285	988	393
286	994	391
287	997	387
288	1000	384
289	1007	382
290	1010	378
291	1013	374
292	1021	373
293	1025	369
294	1028	365
295	1031	362
296	1034	358
297	1037	355
298	1040	351
299	1044	348
300	1047	344
301	1051	341
302	1054	337
303	1057	334
304	1060	330
305	1063	326
306	1066	323
307	1069	319
308	1072	315
309	1074	312
310	1077	308
311	1080	304
312	1083	301
313	1087	297
314	1090	294
315	1092	290
316	1095	286
317	1098	283
318	1101	279
319	1105	276
320	1108	272
321	1112	269
322	1115	265
323	1118	262
324	1121	258
325	1124	255
326	1127	251
327	1130	248
328	1134	244
329	1137	241
330	1141	237
331	1143	234
332	1147	230
333	1151	227
334	1155	224
335	1158	220
336	1161	217
337	1164	213
338	1167	210
339	1170	206
340	1173	203
341	1176	199
342	1179	195
343	1182	192
344	1185	188
345	1189	185
346	1192	182
347	1195	178
348	1198	175
349	1202	171
350	1205	168
351	1208	164
352	1211	161
353	1215	157
354	1218	154
355	1221	150
356	1224	147
357	1230	144
358	1233	140
359	1235	137
360	1238	133
361	1241	130
362	1244	126
363	1247	123
364	1250	119
365	1253	116
366	1256	112
367	1259	109
368	1262	106
369	1265	102
370	1270	99
371	1273	95
372	1276	92
373	1279	88
374	1283	85
375	1286	82
376	1289	78
377	1292	75
378	1296	71
379	1300	68
380	1303	64
381	1307	61
382	1312	58
383	1315	54
384	1318	51
385	1321	47
386	1324	44
387	1327	41
388	1330	37
389	1334	34
390	1337	30
391	1340	27
392	1344	23
393	1348	20
394	1351	17
395	1354	13
396	1357	10
397	1361	6
398	1364	3
399	1367	0
